taxon_name,worms_id
Argentina sialis,272897
Aristostomias scintillans,275007
Bathophilus flemingi,275046
Bathylagoides wesethi,712444
Bathylagus pacificus,272919
Brosmophycis marginata,280000
Ceratoscopelus townsendi,272656
Chauliodus macouni,275055
Chromis punctipinnis,273751
Cololabis saira,280366
Diogenichthys atlanticus,126599
Diogenichthys laternatus,272701
Electrona risso,126600
Embassichthys bathybius,280641
Engraulis mordax,272286
Girella nigricans,280865
Glyptocephalus zachirus,274287
Hemilepidotus spinosus,279413
Hippoglossina stomata,275827
Hypsypops rubicundus,281130
Icichthys lockingtoni,279354
Idiacanthus antrostomus,275151
Lampadena urophaos,126609
Leuroglossus stilbius,313514
Lipolagus ochotensis,281374
Loweina rara,126625
Lyopsetta exilis,281452
Medialuna californiensis,281541
Merluccius productus,272458
Microstoma,NA
Microstomus pacificus,274294
Nansenia candida,272926
Nansenia crassa,272927
Notolychnus valdiviae,126629
Notoscopelus resplendens,158916
Ophiodon elongatus,240745
Oxylebius pictus,240743
Paralichthys californicus,275809
Parophrys vetulus,254393
Peprilus simillimus,276563
Pleuronichthys coenosus,282290
Pleuronichthys decurrens,282292
Pleuronichthys verticalis,282295
Protomyctophum crockeri,272731
Psettichthys melanostictus,282396
Pseudobathylagus milleri,282406
Sardinops sagax,217452
Scomber japonicus,127022
Scorpaenichthys marmoratus,NA
Sebastes aurora,274774
Sebastes diploproa,274787
Sebastes goodei,274798
Sebastes jordani,274806
Sebastes levis,274812
Sebastes paucispinis,274833
Seriola lalandi,218436
Sphyraena argentea,273978
Stenobrachius leucopsarus,254363
Stomias atriventer,275178
Symbolophorus californiensis,272733
Symbolophorus evermanni,217718
Symphurus atricaudus,274234
Tactostoma macropus,282922
Tarletonbeania crenularis,282927
Tetragonurus cuvieri,127080
Trachurus symmetricus,273305
Triphoturus mexicanus,278566
Zoarcoidei,151739
Leptostomias,126212
Teleostei,293496
