year,season,n_samples,mean_abundance,median_abundance,max_abundance
1951,spring,37,12406.15568,12178.6,14380
1951,summer,35,12029.58514,11892.54,14353.56
1951,winter,34,11862.44765,11751.525,12453.25
1952,spring,37,12447.37622,12041.4,15538.48
1952,summer,41,11915.81976,11856.59,13449.84
1953,spring,43,11752.95098,11690.56,12575.73
1953,summer,40,11667.3246,11650.98,11818.72
1954,spring,39,11616.21,11581.03,12100.5
1954,summer,34,11847.70965,11694.405,12836.28
1955,spring,32,11619.96531,11520.6,12275.6
1955,summer,38,11633.70816,11537.135,13457.4
1956,spring,34,11490.15265,11417.92,12082.5
1956,summer,42,11515.21643,11449.88,12411.78
1957,fall,35,11354.71229,11338.07,11732.76
1957,spring,33,12148.35394,11673.8,16297.68
1957,summer,39,11389.24487,11326.85,11928.88
1958,fall,43,11262.71791,11218.51,11629.42
1958,spring,42,11811.17333,11441.25,18078.88
1958,summer,42,11394.92429,11286.69,12657
1959,fall,41,11103.11317,11084,11355.33
1959,spring,42,11790.0081,11272.6,17399.27
1959,summer,42,11109.50214,11070.23,11667.76
1959,winter,39,11195.5559,11012.2,12892.61
1960,fall,39,10930.19949,10922.72,11091.2
1960,spring,44,11395.88568,11176.045,13221.6
1960,summer,40,10938.202,10905.51,11223.77
1960,winter,41,11016.54098,10843.06,12481.84
1961,fall,44,10773.37614,10764.235,10924.47
1961,spring,44,11047.19614,10965.33,12170.81
1961,summer,43,10902.81674,10770.14,11781.4
1961,winter,42,10741.1669,10664.385,12739.18
1962,fall,43,10623.95581,10600.8,10920.5
1962,spring,43,11716.07605,11233.6,16450.8
1962,summer,40,10693.31772,10599.265,11651.9
1962,winter,44,10849.73432,10564.615,15915.18
1963,fall,40,10469.7745,10450.955,10648.1
1963,spring,46,11367.09587,10878.9,16223.4
1963,summer,39,10460.05641,10418.62,10856.2
1963,winter,51,10951.62333,10387.2,17070.88
1964,fall,42,10306.69714,10247.43,10901.16
1964,spring,47,11143.59702,10751.95,15015.02
1964,summer,46,10380.67261,10255.98,11849.14
1964,winter,49,10971.40714,10601.53,19120.25
1965,fall,37,10246.7627,10103.75,11479.85
1965,spring,47,11002.98574,10557.27,16950.02
1965,summer,46,10719.46174,10206.005,14520.31
1965,winter,45,11001.362,10207.04,15495.9
1966,fall,49,10101.92265,9936.27,11987.12
1966,spring,45,10907.50578,10851.64,12751.76
1966,summer,45,10040.88844,9939.65,11195.94
1966,winter,40,11129.7195,10312.02,16270.79
1967,summer,45,10236.23911,10026.64,11898.3
1968,summer,43,10222.33512,9824.04,13161.92
1968,winter,48,10598.56417,9931.415,22709.84
1969,fall,50,9642.6998,9608.725,10208.68
1969,spring,44,10208.14705,9816.9,13023.28
1969,summer,50,9939.936,9705.865,12808.67
1969,winter,50,10740.5936,9554.38,16917.25
1972,summer,45,9626.246444,9498.44,11109.48
1972,winter,49,10481.29653,9553.26,29231.45
1975,fall,50,9470.134,9345.55,10885.68
1975,spring,50,9271.6366,9241.34,9575.8
1975,summer,48,9318.052292,9275.78,10237.2
1975,winter,48,11505.85042,10470.5,24223.25
1978,spring,52,10512.88247,9697.759294,17489.45483
1978,summer,56,9320.901994,9273.115885,10098.67
1978,winter,52,9483.661033,9128.17336,11690.2
1981,spring,50,10533.73051,9381.362736,19552
