species,GRPname,Regionname,habitat,name1
Agonidae,coastal,north,benthic,
Agonopsis.sterletus,coastal,south,benthic,
Albatrossia.pectoralis,coastal,north,benthic,
Albatrossia.pectoralis,coastal,north,benthic,
Ammodytes.hexapterus,coastal,north,benthic,AmH
Anisotremus.davidsoni,coastal,south,pelagic,
Anoplarchus.purpurescens,coastal,north,benthic,
Anoplarchus.purpurescens,coastal,north,benthic,
Anoplopoma.fimbria,coastal-oceanic,north,benthic,AF
Arctozenus.risso,oceanic,cosmopolitan,pelagic,
Arctozenus.risso,oceanic,cosmopolitan,pelagic,
Argentina.sialis,coastal,cosmopolitan,pelagic,AS
Argyropelecus,oceanic,cosmopolitan,pelagic,
Argyropelecus.affinis,oceanic,cosmopolitan,pelagic,
Argyropelecus.hemigymnus,oceanic,cosmopolitan,pelagic,
Argyropelecus.lychnus,oceanic,cosmopolitan,pelagic,
Argyropelecus.sladeni,oceanic,north,pelagic,
Aristostomias.scintillans,oceanic,north,pelagic,
Artedius.fenestralis,coastal,north,benthic,
Artedius.harringtoni,coastal,north,benthic,ArH
Artedius.lateralis,coastal,north,benthic,
Ascelichthys.rhodorus,coastal,north,pelagic,
Atheresthes.stomias,coastal,north,benthic,
Atherinops.affinis,coastal ,north,pelagic,British Columbia to Gulf
Atherinopsis.californiensis,coastal,north,pelagic,
Atractoscion.nobilis,coastal,north,benthic,
Aulorhynchus.flavidus,coastal,north,pelagic,
Aulorhynchus.flavidus,coastal,north,pelagic,
Auxis,oceanic,south,pelagic,
Bathophilus.filifer,oceanic,south,pelagic,
Bathophilus.flemingi,oceanic,north,pelagic,
Bathyagonus.pentacanthus,coastal,north,benthic,
Bathyagonus.pentacanthus,coastal,north,benthic,
Bathylagoides.wesethi,oceanic,cosmopolitan,pelagic,BW
Bathylagus.pacificus,oceanic,north,pelagic,BP
Benthalbella.dentata,oceanic,north,pelagic,
Benthosema.panamense,oceanic,south,pelagic,
Bothragonus.swani,coastal,north,benthic,
Brama.japonica,oceanic,cosmopolitan,pelagic,
Brama.japonica,oceanic,cosmopolitan,pelagic,
Bramidae,oceanic,north,pelagic,
Brosmophycis.marginata,coastal,north,benthic,
Calamus.brachysomus,coastal,south,benthic,
Caristius.maderensis,oceanic,south,pelagic,
Cataetyx.rubrirostris,coastal,north,benthic,
Caulolatilus.princeps,coastal,south,benthic,
Centrobranchus.nigroocellatus,oceanic,south,pelagic,
Centrobranchus.nigroocellatus,oceanic,south,pelagic,
Ceratoscopelus.townsendi,oceanic,cosmopolitan,pelagic,CT
Chaenopsis.alepidota,coastal,south,benthic,
