Rank,Taxon,Total
1,Engraulis mordax,2973739.4
2,Merluccius productus,845487.9
3,Leuroglossus stilbius,364342.2
4,Sebastes spp.,309874.7
5,Vinciguerria lucetia,238387.6
6,Stenobrachius leucopsarus,223842.4
7,Sardinops sagax,105958.2
8,Trachurus symmetricus,81852.0
9,Sebastes jordani,69856.9
10,Bathylagus ochotensis,49994.2
11,Sciaenidae,37904.4
12,Triphoturus mexicanus,36949.2
13,Bathylagus wesethi,34212.9
14,Protomyctophum crockeri,30484.4
15,Ceratoscopelus townsendi,23127.8
16,Citharichthys stigmaeus,21693.1
17,Nannobrachium ritteri,21102.5
18,Tarletonbeania crenularis,20002.4
19,Diogenichthys atlanticus,18810.2
20,Citharichthys spp.,18746.2
21,Scomber japonicus,17996.0
22,Sebastes paucispinis,17561.1
23,Symbolophorus californiensis,15958.0
24,Cyclothone signata,15274.7
25,Lampanyctus spp.,15263.7
26,Genyonemus lineatus,14222.1
27,Disintegrated fish larvae,12712.1
28,Citharichthys sordidus,12610.5
29,Diaphus spp.,12504.7
30,Cyclothone spp.,11663.2
31,Vinciguerria poweriae,9406.7
32,Unidentified fish larvae,8758.5
33,Icichthys lockingtoni,7380.0
34,Melamphaes spp.,7170.4
35,Myctophidae,6160.6
36,Sebastes diploproa,6127.7
37,Argentina sialis,5894.5
38,Oxyjulis californica,5541.2
39,Idiacanthus antrostomus,5469.1
40,Chauliodus macouni,5212.3
41,Gobiidae,4952.5
42,Sternoptychidae,4794.5
43,Lestidiops ringens,4225.1
44,Parophrys vetulus,3887.1
45,Lyopsetta exilis,3704.5
46,Tetragonurus cuvieri,3637.5
47,Sebastes aurora,3460.9
48,Chromis punctipinnis,3364.9
49,Paralabrax spp.,3339.1
50,Paralichthys californicus,3248.4
51,Cottidae,3165.4
52,Bathylagus spp.,3099.7
53,Hypsoblennius spp.,3043.4
54,Argyropelecus sladeni,2578.0
55,Sphyraena argentea,2564.2
56,Pleuronichthys verticalis,2434.2
57,Danaphos oculatus,2420.2
58,Microstoma spp.,2368.3
59,Peprilus simillimus,2309.1
60,Nannobrachium regale,2289.8
61,Labridae,2282.4
62,Stomias atriventer,2176.1
63,Sebastolobus spp.,2172.2
64,Melamphaes lugubris,2017.8
65,Bathylagus pacificus,2011.9
66,Sebastes goodei,1987.9
67,Seriphus politus,1900.8
68,Coryphopterus nicholsii,1799.6
69,Paralepididae,1624.7
70,Nansenia candida,1530.3
71,Microstomus pacificus,1514.5
72,Sternoptyx spp.,1471.7
73,Diogenichthys laternatus,1459.6
74,Ophidiiformes,1214.4
75,Hygophum reinhardtii,1174.2
76,Symphurus atricaudus,1156.0
77,Notoscopelus resplendens,1105.1
78,Trachipteridae,1067.4
79,Myctophum nitidulum,1054.1
80,Scopelogadus bispinosus,1042.2
81,Cololabis saira,979.4
82,Clinidae,939.5
83,Argyropelecus affinis,932.3
84,Hypsoblennius jenkinsi,806.6
85,Electrona risso,791.8
86,Scorpaenichthys marmoratus,751.9
87,Scopelosaurus spp.,719.2
88,Ophidion scrippsae,709.4
89,Cyclothone acclinidens,692.7
90,Hypsypops rubicundus,691.5
91,Notolychnus valdiviae,677.3
92,Aristostomias scintillans,674.6
93,Hippoglossina stomata,618.4
94,Chiasmodon niger,602.3
95,Brosmophycis marginata,587.4
96,Arctozenus risso,580.9
97,Sebastes levis,549.6
